Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: OneAZ,Rate: 6.250%,"Original Balance: $538,450.23","Monthly Payment: $3,315.33",Total Payments: 360,"Total Interest: $655,051.64","Total Cost: $1,193,519.05",,
,,,,,,,,
71,2031-06-01,495431.22,3315.33,734.96,2580.37,494696.26,43753.97,189054.13
72,2031-07-01,494696.26,3315.33,738.79,2576.54,493957.47,44492.76,191634.5
73,2031-08-01,493957.47,3315.33,742.64,2572.7,493214.83,45235.4,194211.05
74,2031-09-01,493214.83,3315.33,746.5,2568.83,492468.33,45981.9,196783.74
75,2031-10-01,492468.33,3315.33,750.39,2564.94,491717.94,46732.29,199352.57
76,2031-11-01,491717.94,3315.33,754.3,2561.03,490963.64,47486.59,201917.51
77,2031-12-01,490963.64,3315.33,758.23,2557.1,490205.41,48244.82,204478.54
78,2032-01-01,490205.41,3315.33,762.18,2553.15,489443.23,49007.0,207035.64
79,2032-02-01,489443.23,3315.33,766.15,2549.18,488677.09,49773.14,209588.8
80,2032-03-01,488677.09,3315.33,770.14,2545.19,487906.95,50543.28,212137.98
81,2032-04-01,487906.95,3315.33,774.15,2541.18,487132.8,51317.43,214683.17
82,2032-05-01,487132.8,3315.33,778.18,2537.15,486354.62,52095.61,217224.35
83,2032-06-01,486354.62,3315.33,782.23,2533.1,485572.38,52877.85,219761.5
84,2032-07-01,485572.38,3315.33,786.31,2529.02,484786.08,53664.15,222294.6
85,2032-08-01,484786.08,3315.33,790.4,2524.93,483995.67,54454.56,224823.62
86,2032-09-01,483995.67,3315.33,794.52,2520.81,483201.15,55249.08,227348.55
87,2032-10-01,483201.15,3315.33,798.66,2516.67,482402.5,56047.73,229869.36
88,2032-11-01,482402.5,3315.33,802.82,2512.51,481599.68,56850.55,232386.04
89,2032-12-01,481599.68,3315.33,807.0,2508.33,480792.68,57657.55,234898.55
90,2033-01-01,480792.68,3315.33,811.2,2504.13,479981.48,58468.75,237406.88
91,2033-02-01,479981.48,3315.33,815.43,2499.9,479166.05,59284.18,239911.01
92,2033-03-01,479166.05,3315.33,819.67,2495.66,478346.38,60103.85,242410.91
93,2033-04-01,478346.38,3315.33,823.94,2491.39,477522.43,60927.8,244906.57
94,2033-05-01,477522.43,3315.33,828.23,2487.1,476694.2,61756.03,247397.96
95,2033-06-01,476694.2,3315.33,832.55,2482.78,475861.65,62588.58,249885.05
96,2033-07-01,475861.65,3315.33,836.88,2478.45,475024.76,63425.47,252367.83
97,2033-08-01,475024.76,3315.33,841.24,2474.09,474183.52,64266.71,254846.28
98,2033-09-01,474183.52,3315.33,845.62,2469.71,473337.9,65112.33,257320.37
99,2033-10-01,473337.9,3315.33,850.03,2465.3,472487.87,65962.36,259790.07
100,2033-11-01,472487.87,3315.33,854.46,2460.87,471633.41,66816.82,262255.37
101,2033-12-01,471633.41,3315.33,858.91,2456.42,470774.5,67675.73,264716.25
102,2034-01-01,470774.5,3315.33,863.38,2451.95,469911.12,68539.11,267172.67
103,2034-02-01,469911.12,3315.33,867.88,2447.45,469043.25,69406.98,269624.62
104,2034-03-01,469043.25,3315.33,872.4,2442.93,468170.85,70279.38,272072.08
105,2034-04-01,468170.85,3315.33,876.94,2438.39,467293.91,71156.32,274515.01
106,2034-05-01,467293.91,3315.33,881.51,2433.82,466412.4,72037.83,276953.4
107,2034-06-01,466412.4,3315.33,886.1,2429.23,465526.3,72923.93,279387.22
108,2034-07-01,465526.3,3315.33,890.71,2424.62,464635.59,73814.64,281816.45
109,2034-08-01,464635.59,3315.33,895.35,2419.98,463740.23,74710.0,284241.07
110,2034-09-01,463740.23,3315.33,900.02,2415.31,462840.22,75610.01,286661.05
111,2034-10-01,462840.22,3315.33,904.7,2410.63,461935.51,76514.72,289076.36
112,2034-11-01,461935.51,3315.33,909.42,2405.91,461026.1,77424.13,291486.99
113,2034-12-01,461026.1,3315.33,914.15,2401.18,460111.94,78338.29,293892.9
114,2035-01-01,460111.94,3315.33,918.91,2396.42,459193.03,79257.2,296294.08
115,2035-02-01,459193.03,3315.33,923.7,2391.63,458269.33,80180.9,298690.5
116,2035-03-01,458269.33,3315.33,928.51,2386.82,457340.82,81109.41,301082.13
117,2035-04-01,457340.82,3315.33,933.35,2381.98,456407.47,82042.76,303468.95
118,2035-05-01,456407.47,3315.33,938.21,2377.12,455469.26,82980.97,305850.93
119,2035-06-01,455469.26,3315.33,943.09,2372.24,454526.17,83924.06,308228.05
120,2035-07-01,454526.17,3315.33,948.01,2367.32,453578.16,84872.07,310600.29
121,2035-08-01,453578.16,3315.33,952.94,2362.39,452625.21,85825.02,312967.61
122,2035-09-01,452625.21,3315.33,957.91,2357.42,451667.31,86782.92,315330.0
123,2035-10-01,451667.31,3315.33,962.9,2352.43,450704.41,87745.82,317687.42
124,2035-11-01,450704.41,3315.33,967.91,2347.42,449736.5,88713.73,320039.85
125,2035-12-01,449736.5,3315.33,972.95,2342.38,448763.54,89686.69,322387.27
126,2036-01-01,448763.54,3315.33,978.02,2337.31,447785.52,90664.71,324729.65
127,2036-02-01,447785.52,3315.33,983.11,2332.22,446802.41,91647.82,327066.96
128,2036-03-01,446802.41,3315.33,988.23,2327.1,445814.18,92636.05,329399.18
129,2036-04-01,445814.18,3315.33,993.38,2321.95,444820.79,93629.44,331726.27
130,2036-05-01,444820.79,3315.33,998.56,2316.77,443822.24,94627.99,334048.22
131,2036-06-01,443822.24,3315.33,1003.76,2311.57,442818.48,95631.75,336365.0
132,2036-07-01,442818.48,3315.33,1008.98,2306.35,441809.5,96640.73,338676.57
133,2036-08-01,441809.5,3315.33,1014.24,2301.09,440795.26,97654.97,340982.92
134,2036-09-01,440795.26,3315.33,1019.52,2295.81,439775.73,98674.5,343284.01
135,2036-10-01,439775.73,3315.33,1024.83,2290.5,438750.9,99699.33,345579.82
136,2036-11-01,438750.9,3315.33,1030.17,2285.16,437720.73,100729.5,347870.31
137,2036-12-01,437720.73,3315.33,1035.54,2279.8,436685.2,101765.03,350155.48
138,2037-01-01,436685.2,3315.33,1040.93,2274.4,435644.27,102805.96,352435.27
139,2037-02-01,435644.27,3315.33,1046.35,2268.98,434597.92,103852.31,354709.67
140,2037-03-01,434597.92,3315.33,1051.8,2263.53,433546.12,104904.11,356978.65
141,2037-04-01,433546.12,3315.33,1057.28,2258.05,432488.84,105961.39,359242.18
142,2037-05-01,432488.84,3315.33,1062.78,2252.55,431426.06,107024.17,361500.24
143,2037-06-01,431426.06,3315.33,1068.32,2247.01,430357.74,108092.49,363752.78
144,2037-07-01,430357.74,3315.33,1073.88,2241.45,429283.85,109166.38,365999.79
145,2037-08-01,429283.85,3315.33,1079.48,2235.85,428204.38,110245.85,368241.24
146,2037-09-01,428204.38,3315.33,1085.1,2230.23,427119.28,111330.95,370477.09
147,2037-10-01,427119.28,3315.33,1090.75,2224.58,426028.52,112421.71,372707.33
148,2037-11-01,426028.52,3315.33,1096.43,2218.9,424932.09,113518.14,374931.9
149,2037-12-01,424932.09,3315.33,1102.14,2213.19,423829.95,114620.28,377150.8
150,2038-01-01,423829.95,3315.33,1107.88,2207.45,422722.07,115728.16,379363.99
151,2038-02-01,422722.07,3315.33,1113.65,2201.68,421608.41,116841.82,381571.44
152,2038-03-01,421608.41,3315.33,1119.45,2195.88,420488.96,117961.27,383773.12
153,2038-04-01,420488.96,3315.33,1125.28,2190.05,419363.68,119086.55,385968.99
154,2038-05-01,419363.68,3315.33,1131.14,2184.19,418232.53,120217.7,388159.04
155,2038-06-01,418232.53,3315.33,1137.04,2178.29,417095.49,121354.74,390343.23
156,2038-07-01,417095.49,3315.33,1142.96,2172.37,415952.54,122497.69,392521.52
157,2038-08-01,415952.54,3315.33,1148.91,2166.42,414803.63,123646.6,394693.89
158,2038-09-01,414803.63,3315.33,1154.9,2160.44,413648.73,124801.5,396860.31
159,2038-10-01,413648.73,3315.33,1160.91,2154.42,412487.82,125962.41,399020.75
160,2038-11-01,412487.82,3315.33,1166.96,2148.37,411320.86,127129.37,401175.17
161,2038-12-01,411320.86,3315.33,1173.03,2142.3,410147.83,128302.4,403323.54
162,2039-01-01,410147.83,3315.33,1179.14,2136.19,408968.68,129481.55,405465.84
163,2039-02-01,408968.68,3315.33,1185.29,2130.05,407783.4,130666.83,407602.03
164,2039-03-01,407783.4,3315.33,1191.46,2123.87,406591.94,131858.29,409732.07
165,2039-04-01,406591.94,3315.33,1197.66,2117.67,405394.28,133055.95,411855.94
166,2039-05-01,405394.28,3315.33,1203.9,2111.43,404190.37,134259.86,413973.61
167,2039-06-01,404190.37,3315.33,1210.17,2105.16,402980.2,135470.03,416085.04
168,2039-07-01,402980.2,3315.33,1216.48,2098.86,401763.73,136686.5,418190.2
169,2039-08-01,401763.73,3315.33,1222.81,2092.52,400540.91,137909.32,420289.05
170,2039-09-01,400540.91,3315.33,1229.18,2086.15,399311.73,139138.5,422381.57
171,2039-10-01,399311.73,3315.33,1235.58,2079.75,398076.15,140374.08,424467.72
172,2039-11-01,398076.15,3315.33,1242.02,2073.31,396834.14,141616.09,426547.47
173,2039-12-01,396834.14,3315.33,1248.49,2066.84,395585.65,142864.58,428620.78
174,2040-01-01,395585.65,3315.33,1254.99,2060.34,394330.66,144119.57,430687.63
175,2040-02-01,394330.66,3315.33,1261.53,2053.81,393069.14,145381.09,432747.97
176,2040-03-01,393069.14,3315.33,1268.1,2047.24,391801.04,146649.19,434801.77
177,2040-04-01,391801.04,3315.33,1274.7,2040.63,390526.34,147923.89,436849.01
178,2040-05-01,390526.34,3315.33,1281.34,2033.99,389245.0,149205.23,438889.64
179,2040-06-01,389245.0,3315.33,1288.01,2027.32,387956.99,150493.24,440923.63
180,2040-07-01,387956.99,3315.33,1294.72,2020.61,386662.27,151787.96,442950.95
181,2040-08-01,386662.27,3315.33,1301.46,2013.87,385360.8,153089.43,444971.56
182,2040-09-01,385360.8,3315.33,1308.24,2007.09,384052.56,154397.67,446985.42
183,2040-10-01,384052.56,3315.33,1315.06,2000.27,382737.5,155712.73,448992.51
184,2040-11-01,382737.5,3315.33,1321.91,1993.42,381415.59,157034.64,450992.79
185,2040-12-01,381415.59,3315.33,1328.79,1986.54,380086.8,158363.43,452986.21
186,2041-01-01,380086.8,3315.33,1335.71,1979.62,378751.09,159699.14,454972.75
187,2041-02-01,378751.09,3315.33,1342.67,1972.66,377408.42,161041.81,456952.37
188,2041-03-01,377408.42,3315.33,1349.66,1965.67,376058.76,162391.47,458925.03
189,2041-04-01,376058.76,3315.33,1356.69,1958.64,374702.07,163748.16,460890.7
190,2041-05-01,374702.07,3315.33,1363.76,1951.57,373338.31,165111.92,462849.34
191,2041-06-01,373338.31,3315.33,1370.86,1944.47,371967.45,166482.78,464800.91
192,2041-07-01,371967.45,3315.33,1378.0,1937.33,370589.45,167860.78,466745.38
193,2041-08-01,370589.45,3315.33,1385.18,1930.15,369204.27,169245.96,468682.71
194,2041-09-01,369204.27,3315.33,1392.39,1922.94,367811.88,170638.35,470612.87
195,2041-10-01,367811.88,3315.33,1399.64,1915.69,366412.24,172037.99,472535.81
196,2041-11-01,366412.24,3315.33,1406.93,1908.4,365005.31,173444.92,474451.49
197,2041-12-01,365005.31,3315.33,1414.26,1901.07,363591.04,174859.19,476359.89
198,2042-01-01,363591.04,3315.33,1421.63,1893.7,362169.42,176280.81,478260.96
199,2042-02-01,362169.42,3315.33,1429.03,1886.3,360740.39,177709.84,480154.66
200,2042-03-01,360740.39,3315.33,1436.47,1878.86,359303.91,179146.32,482040.96
201,2042-04-01,359303.91,3315.33,1443.96,1871.37,357859.95,180590.28,483919.82
