Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: No points,Rate: 6.375%,"Original Balance: $538,450.23","Monthly Payment: $3,359.23",Total Payments: 360,"Total Interest: $670,854.42","Total Cost: $1,209,322.41",,
,,,,,,,,
71,2031-06-01,496297.94,3359.23,722.65,2636.58,495575.3,42874.93,192993.74
72,2031-07-01,495575.3,3359.23,726.49,2632.74,494848.81,43601.42,195630.32
73,2031-08-01,494848.81,3359.23,730.34,2628.88,494118.47,44331.76,198263.06
74,2031-09-01,494118.47,3359.23,734.22,2625.0,493384.24,45065.99,200891.95
75,2031-10-01,493384.24,3359.23,738.13,2621.1,492646.12,45804.11,203516.95
76,2031-11-01,492646.12,3359.23,742.05,2617.18,491904.07,46546.16,206138.06
77,2031-12-01,491904.07,3359.23,745.99,2613.24,491158.08,47292.15,208755.24
78,2032-01-01,491158.08,3359.23,749.95,2609.28,490408.13,48042.1,211368.48
79,2032-02-01,490408.13,3359.23,753.94,2605.29,489654.2,48796.03,213977.76
80,2032-03-01,489654.2,3359.23,757.94,2601.29,488896.26,49553.97,216583.05
81,2032-04-01,488896.26,3359.23,761.97,2597.26,488134.29,50315.94,219184.34
82,2032-05-01,488134.29,3359.23,766.02,2593.21,487368.27,51081.96,221781.6
83,2032-06-01,487368.27,3359.23,770.08,2589.14,486598.19,51852.04,224374.81
84,2032-07-01,486598.19,3359.23,774.18,2585.05,485824.01,52626.22,226963.96
85,2032-08-01,485824.01,3359.23,778.29,2580.94,485045.72,53404.51,229549.01
86,2032-09-01,485045.72,3359.23,782.42,2576.81,484263.3,54186.93,232129.95
87,2032-10-01,484263.3,3359.23,786.58,2572.65,483476.72,54973.51,234706.75
88,2032-11-01,483476.72,3359.23,790.76,2568.47,482685.96,55764.27,237279.4
89,2032-12-01,482685.96,3359.23,794.96,2564.27,481891.0,56559.23,239847.87
90,2033-01-01,481891.0,3359.23,799.18,2560.05,481091.82,57358.41,242412.14
91,2033-02-01,481091.82,3359.23,803.43,2555.8,480288.39,58161.84,244972.19
92,2033-03-01,480288.39,3359.23,807.7,2551.53,479480.69,58969.54,247527.99
93,2033-04-01,479480.69,3359.23,811.99,2547.24,478668.7,59781.53,250079.52
94,2033-05-01,478668.7,3359.23,816.3,2542.93,477852.4,60597.83,252626.76
95,2033-06-01,477852.4,3359.23,820.64,2538.59,477031.76,61418.47,255169.69
96,2033-07-01,477031.76,3359.23,825.0,2534.23,476206.77,62243.46,257708.28
97,2033-08-01,476206.77,3359.23,829.38,2529.85,475377.39,63072.84,260242.51
98,2033-09-01,475377.39,3359.23,833.79,2525.44,474543.6,63906.63,262772.36
99,2033-10-01,474543.6,3359.23,838.22,2521.01,473705.38,64744.85,265297.8
100,2033-11-01,473705.38,3359.23,842.67,2516.56,472862.71,65587.52,267818.82
101,2033-12-01,472862.71,3359.23,847.15,2512.08,472015.57,66434.66,270335.38
102,2034-01-01,472015.57,3359.23,851.65,2507.58,471163.92,67286.31,272847.46
103,2034-02-01,471163.92,3359.23,856.17,2503.06,470307.75,68142.48,275355.04
104,2034-03-01,470307.75,3359.23,860.72,2498.51,469447.03,69003.2,277858.1
105,2034-04-01,469447.03,3359.23,865.29,2493.94,468581.74,69868.49,280356.61
106,2034-05-01,468581.74,3359.23,869.89,2489.34,467711.85,70738.38,282850.55
107,2034-06-01,467711.85,3359.23,874.51,2484.72,466837.34,71612.89,285339.89
108,2034-07-01,466837.34,3359.23,879.16,2480.07,465958.19,72492.04,287824.61
109,2034-08-01,465958.19,3359.23,883.83,2475.4,465074.36,73375.87,290304.68
110,2034-09-01,465074.36,3359.23,888.52,2470.71,464185.84,74264.39,292780.08
111,2034-10-01,464185.84,3359.23,893.24,2465.99,463292.6,75157.63,295250.79
112,2034-11-01,463292.6,3359.23,897.99,2461.24,462394.61,76055.62,297716.78
113,2034-12-01,462394.61,3359.23,902.76,2456.47,461491.85,76958.38,300178.02
114,2035-01-01,461491.85,3359.23,907.55,2451.68,460584.3,77865.93,302634.49
115,2035-02-01,460584.3,3359.23,912.37,2446.85,459671.93,78778.3,305086.17
116,2035-03-01,459671.93,3359.23,917.22,2442.01,458754.7,79695.53,307533.02
117,2035-04-01,458754.7,3359.23,922.09,2437.13,457832.61,80617.62,309975.03
118,2035-05-01,457832.61,3359.23,926.99,2432.24,456905.62,81544.61,312412.16
119,2035-06-01,456905.62,3359.23,931.92,2427.31,455973.7,82476.53,314844.4
120,2035-07-01,455973.7,3359.23,936.87,2422.36,455036.83,83413.4,317271.71
121,2035-08-01,455036.83,3359.23,941.85,2417.38,454094.98,84355.25,319694.07
122,2035-09-01,454094.98,3359.23,946.85,2412.38,453148.14,85302.09,322111.45
123,2035-10-01,453148.14,3359.23,951.88,2407.35,452196.26,86253.97,324523.83
124,2035-11-01,452196.26,3359.23,956.94,2402.29,451239.32,87210.91,326931.18
125,2035-12-01,451239.32,3359.23,962.02,2397.21,450277.3,88172.93,329333.47
126,2036-01-01,450277.3,3359.23,967.13,2392.1,449310.17,89140.06,331730.68
127,2036-02-01,449310.17,3359.23,972.27,2386.96,448337.9,90112.33,334122.78
128,2036-03-01,448337.9,3359.23,977.43,2381.8,447360.47,91089.76,336509.74
129,2036-04-01,447360.47,3359.23,982.63,2376.6,446377.84,92072.39,338891.54
130,2036-05-01,446377.84,3359.23,987.85,2371.38,445389.99,93060.24,341268.14
