custom_scenario_name,recommendation,current_rate,new_rate_before_buydown,effective_rate_after_buydown,buydown_points,buydown_cost,closing_costs,total_upfront_cost,current_payment,new_monthly_payment,monthly_savings,break_even_months,break_even_years,savings_5_years,savings_10_years,savings_full_term,current_remaining_balance,current_remaining_months,new_term_months,current_total_payments_remaining,new_total_payments,current_total_interest_remaining,new_total_interest,interest_savings_full_term,net_interest_savings
Scenario 1,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.250%,6.250%,0.0,$0.00,"$8,000.00","$8,000.00","$3,805.59","$3,315.33",$490.26,16.31789484412939,1.3598245703441159,"$21,415.56","$50,831.12","$-59,842.05","$538,450.23",300,360,"$1,141,677.00","$1,193,519.05","$603,226.77","$655,068.82","$-51,842.05","$-59,842.05"
Scenario 2,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.000%,5.750%,1.0,"$5,384.50","$8,000.00","$13,384.50","$3,805.59","$3,142.25",$663.34,20.17742024622289,1.681451687185241,"$26,415.93","$66,216.37","$-2,917.28","$538,450.23",300,360,"$1,141,677.00","$1,131,209.78","$603,226.77","$592,759.55","$10,467.22","$-2,917.28"
Scenario 3,NOT RECOMMENDED - Higher monthly payment,7.490%,5.750%,5.750%,0.0,$0.00,"$8,000.00","$8,000.00","$3,805.59","$4,471.35",$-665.76,Never,Never,"$-47,945.30","$-87,890.60","$328,834.90","$538,450.23",300,180,"$1,141,677.00","$804,842.10","$603,226.77","$266,391.87","$336,834.90","$328,834.90"
