custom_scenario_name,recommendation,current_rate,new_rate_before_buydown,effective_rate_after_buydown,buydown_points,buydown_cost,closing_costs,total_upfront_cost,current_payment,new_monthly_payment,monthly_savings,break_even_months,break_even_years,savings_5_years,savings_10_years,savings_full_term,current_remaining_balance,current_remaining_months,new_term_months,current_total_payments_remaining,new_total_payments,current_total_interest_remaining,new_total_interest,interest_savings_full_term,net_interest_savings
Scenario 1,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.250%,6.250%,0.0,$0.00,"$8,000.00","$8,000.00","$3,805.59","$3,315.33",$490.26,16.31789484412939,1.3598245703441159,"$21,415.56","$50,831.12","$107,603.91","$538,450.23",344,360,"$1,309,122.96","$1,193,519.05","$770,672.73","$655,068.82","$115,603.91","$107,603.91"
Scenario 2,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.000%,5.750%,1.0,"$5,384.50","$8,000.00","$13,384.50","$3,805.59","$3,142.25",$663.34,20.17742024622289,1.681451687185241,"$26,415.93","$66,216.37","$164,528.68","$538,450.23",344,360,"$1,309,122.96","$1,131,209.78","$770,672.73","$592,759.55","$177,913.18","$164,528.68"
Scenario 3,NOT RECOMMENDED - Higher monthly payment,7.490%,5.750%,5.750%,0.0,$0.00,"$8,000.00","$8,000.00","$3,805.59","$4,471.35",$-665.76,Never,Never,"$-47,945.30","$-87,890.60","$496,280.86","$538,450.23",344,180,"$1,309,122.96","$804,842.10","$770,672.73","$266,391.87","$504,280.86","$496,280.86"
