custom_scenario_name,recommendation,current_rate,new_rate_before_buydown,effective_rate_after_buydown,buydown_points,buydown_cost,closing_costs,total_upfront_cost,current_payment,new_monthly_payment,monthly_savings,break_even_months,break_even_years,savings_5_years,savings_10_years,savings_full_term,current_remaining_balance,current_remaining_months,new_term_months,current_total_payments_remaining,new_total_payments,current_total_interest_remaining,new_total_interest,interest_savings_full_term,net_interest_savings
No points,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.375%,6.375%,0.0,$0.00,"$5,000.00","$5,000.00","$3,805.59","$3,359.23",$446.36,11.201693108218793,0.9334744256848994,"$21,781.67","$48,563.33","$94,800.55","$538,450.23",344,360,"$1,309,122.96","$1,209,322.41","$770,672.73","$670,872.18","$99,800.55","$94,800.55"
1 point,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.125%,6.125%,0.0,$0.00,"$9,751.00","$9,751.00","$3,805.59","$3,271.68",$533.91,18.263389622602173,1.5219491352168477,"$22,283.58","$54,318.16","$121,567.03","$538,450.23",344,360,"$1,309,122.96","$1,177,804.93","$770,672.73","$639,354.70","$131,318.03","$121,567.03"
2 Points,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.000%,6.000%,0.0,$0.00,"$12,466.00","$12,466.00","$3,805.59","$3,228.28",$577.31,21.593295657002855,1.799441304750238,"$22,172.53","$56,811.06","$134,475.73","$538,450.23",344,360,"$1,309,122.96","$1,162,181.23","$770,672.73","$623,731.00","$146,941.73","$134,475.73"
