Payment_Number,Payment_Date,Beginning_Balance,Payment_Amount,Principal_Payment,Interest_Payment,Ending_Balance,Cumulative_Principal,Cumulative_Interest
SCENARIO: Sage,Rate: 6.179%,"Original Balance: $538,450.23","Monthly Payment: $3,290.51",Total Payments: 360,"Total Interest: $646,115.31","Total Cost: $1,184,582.40",,
,,,,,,,,
306,2051-01-01,157258.26,3290.51,2480.76,809.75,154777.5,383672.73,622412.56
307,2051-02-01,154777.5,3290.51,2493.53,796.98,152283.97,386166.26,623222.31
308,2051-03-01,152283.97,3290.51,2506.37,784.14,149777.6,388672.63,624019.29
309,2051-04-01,149777.6,3290.51,2519.28,771.23,147258.32,391191.91,624803.42
310,2051-05-01,147258.32,3290.51,2532.25,758.26,144726.07,393724.16,625574.65
311,2051-06-01,144726.07,3290.51,2545.29,745.22,142180.79,396269.44,626332.91
312,2051-07-01,142180.79,3290.51,2558.39,732.11,139622.39,398827.84,627078.13
313,2051-08-01,139622.39,3290.51,2571.57,718.94,137050.82,401399.41,627810.24
314,2051-09-01,137050.82,3290.51,2584.81,705.7,134466.02,403984.21,628529.18
315,2051-10-01,134466.02,3290.51,2598.12,692.39,131867.9,406582.33,629234.88
316,2051-11-01,131867.9,3290.51,2611.5,679.01,129256.4,409193.83,629927.27
317,2051-12-01,129256.4,3290.51,2624.94,665.56,126631.46,411818.77,630606.28
318,2052-01-01,126631.46,3290.51,2638.46,652.05,123993.0,414457.23,631271.84
319,2052-02-01,123993.0,3290.51,2652.05,638.46,121340.95,417109.28,631923.89
320,2052-03-01,121340.95,3290.51,2665.7,624.8,118675.25,419774.98,632562.35
321,2052-04-01,118675.25,3290.51,2679.43,611.08,115995.82,422454.41,633187.15
322,2052-05-01,115995.82,3290.51,2693.22,597.28,113302.59,425147.64,633798.23
323,2052-06-01,113302.59,3290.51,2707.09,583.41,110595.5,427854.73,634395.51
324,2052-07-01,110595.5,3290.51,2721.03,569.47,107874.47,430575.76,634978.93
325,2052-08-01,107874.47,3290.51,2735.04,555.46,105139.43,433310.8,635548.4
326,2052-09-01,105139.43,3290.51,2749.13,541.38,102390.3,436059.93,636103.86
327,2052-10-01,102390.3,3290.51,2763.28,527.22,99627.02,438823.21,636645.24
328,2052-11-01,99627.02,3290.51,2777.51,513.0,96849.51,441600.72,637172.47
329,2052-12-01,96849.51,3290.51,2791.81,498.69,94057.7,444392.53,637685.47
330,2053-01-01,94057.7,3290.51,2806.19,484.32,91251.51,447198.72,638184.16
331,2053-02-01,91251.51,3290.51,2820.64,469.87,88430.87,450019.36,638668.48
332,2053-03-01,88430.87,3290.51,2835.16,455.35,85595.71,452854.52,639138.35
333,2053-04-01,85595.71,3290.51,2849.76,440.75,82745.95,455704.28,639593.69
334,2053-05-01,82745.95,3290.51,2864.43,426.07,79881.51,458568.72,640034.44
335,2053-06-01,79881.51,3290.51,2879.18,411.32,77002.33,461447.9,640460.51
336,2053-07-01,77002.33,3290.51,2894.01,396.5,74108.32,464341.91,640871.84
337,2053-08-01,74108.32,3290.51,2908.91,381.6,71199.41,467250.82,641268.33
338,2053-09-01,71199.41,3290.51,2923.89,366.62,68275.52,470174.71,641649.93
339,2053-10-01,68275.52,3290.51,2938.94,351.56,65336.58,473113.65,642016.55
340,2053-11-01,65336.58,3290.51,2954.08,336.43,62382.5,476067.73,642368.11
341,2053-12-01,62382.5,3290.51,2969.29,321.22,59413.21,479037.02,642704.54
342,2054-01-01,59413.21,3290.51,2984.58,305.93,56428.63,482021.6,643025.76
343,2054-02-01,56428.63,3290.51,2999.95,290.56,53428.69,485021.54,643331.68
344,2054-03-01,53428.69,3290.51,3015.39,275.11,50413.29,488036.94,643622.24
345,2054-04-01,50413.29,3290.51,3030.92,259.59,47382.37,491067.86,643897.36
346,2054-05-01,47382.37,3290.51,3046.53,243.98,44335.85,494114.38,644156.94
347,2054-06-01,44335.85,3290.51,3062.21,228.29,41273.63,497176.6,644400.92
348,2054-07-01,41273.63,3290.51,3077.98,212.52,38195.65,500254.58,644629.22
349,2054-08-01,38195.65,3290.51,3093.83,196.68,35101.82,503348.41,644841.74
350,2054-09-01,35101.82,3290.51,3109.76,180.75,31992.06,506458.17,645038.42
351,2054-10-01,31992.06,3290.51,3125.77,164.73,28866.28,509583.95,645219.16
352,2054-11-01,28866.28,3290.51,3141.87,148.64,25724.41,512725.82,645383.9
353,2054-12-01,25724.41,3290.51,3158.05,132.46,22566.37,515883.86,645532.53
354,2055-01-01,22566.37,3290.51,3174.31,116.2,19392.06,519058.17,645664.99
355,2055-02-01,19392.06,3290.51,3190.65,99.85,16201.41,522248.82,645781.19
356,2055-03-01,16201.41,3290.51,3207.08,83.42,12994.32,525455.91,645881.04
357,2055-04-01,12994.32,3290.51,3223.6,66.91,9770.73,528679.5,645964.47
358,2055-05-01,9770.73,3290.51,3240.2,50.31,6530.53,531919.7,646031.38
359,2055-06-01,6530.53,3290.51,3256.88,33.63,3273.65,535176.58,646081.69
360,2055-07-01,3273.65,3290.51,3273.65,16.86,0.0,538450.23,646115.31
