custom_scenario_name,recommendation,current_rate,new_rate_before_buydown,effective_rate_after_buydown,buydown_points,buydown_cost,closing_costs,total_upfront_cost,current_payment,new_monthly_payment,monthly_savings,break_even_months,break_even_years,savings_5_years,savings_10_years,savings_full_term,current_remaining_balance,current_remaining_months,new_term_months,current_total_payments_remaining,new_total_payments,current_total_interest_remaining,new_total_interest,interest_savings_full_term,net_interest_savings
OneAZ,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.250%,6.250%,0.0,$0.00,"$3,500.00","$3,500.00","$3,805.59","$3,315.33",$490.26,7.139078994306608,0.5949232495255506,"$25,915.56","$55,331.12","$112,103.91","$538,450.23",344,360,"$1,309,122.96","$1,193,519.05","$770,672.73","$655,068.82","$115,603.91","$112,103.91"
Sage,HIGHLY RECOMMENDED - Quick break-even,7.490%,6.179%,6.179%,0.0,$0.00,"$4,974.00","$4,974.00","$3,805.59","$3,290.51",$515.08,9.656689891334981,0.8047241576112484,"$25,931.00","$56,836.00","$119,566.56","$538,450.23",344,360,"$1,309,122.96","$1,184,582.40","$770,672.73","$646,132.17","$124,540.56","$119,566.56"
